,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
NFLX,Reed Hastings,Spencer Neumann,Jackie Lee-Joe,David Hyman,Jessica Neal,Gregory Peters,Theodore Sarandos,Rachel Whetstone,Jay Hoag,Mathias Dopfner,Susan Rice,Richard Barton,Rodolphe Belmer,Timothy Haley,Leslie Kilgore,Ann Mather,Bradford Smith,Anne Sweeney,,,,,,,,,,,,,,,,,
MDT,Omar Ishrak,Karen Parkhill,Carol Surface,Michael Coyle,Hooman Hakami,Robert ten Hoedt,Geoffrey Martha,Robert White,Richard Kuntz,Bradley Lerman,Richard Anderson,Craig Arnold,Scott Donnelly,Andrea Goldsmith,Randall Hogan,Michael Leavitt,James Lenehan,Elizabeth Nabel,Denise O'Leary,Kendall Powell,Ryan Weispfenning,,,,,,,,,,,,,,
ORCL,Lawrence Ellison,William West,Dorian Daley,Brady Meltzer,Galina Patil,Safra Catz,Mark Hurd,Jeffrey Henley,Rona Fairhead,Charles Moorman,William Parrett,Jeffrey Berg,Michael Boskin,Bruce Chizen,George Conrades,Hector Garcia-Molina,Renee James,Leon Panetta,Naomi Seligman,,,,,,,,,,,,,,,,
IBM,Virginia Rometty,James Kavanaugh,Diane Gherson,John Kelly,Michelle Browdy,Kenneth Keverian,Martin Schroeter,Robert Del Bene,Michael Eskew,David Farr,Alex Gorsky,Michelle Howard,Shirley Jackson,Andrew Liveris,Martha Pollack,Joseph Swedish,Sidney Taurel,Peter Voser,Frederick Waddell,,,,,,,,,,,,,,,,
PM,Louis Camilleri,Marc Firestone,Andre Calantzopoulos,Martin King,Drago Azinovic,Frederic De Wilde,Stacey Kennedy,Marco Mariotti,Mario Masseroli,Paul Riley,Miroslaw Zielinski,Jacek Olczak,Massimo Andolina,Werner Barth,Charles Bendotti,Michael Kunst,Marian Salzman,Michael Voegele,Andreas Kurali,Frank De Rooij,J.B. Simko,Jerry Whitson,Deepak Mishra,Jaime Suarez,Massimo Ferragamo,Werner Geissler,Lisa Hook,Jennifer Li,Jun Makihara,Kalpana Morparia,Lucio Noto,Frederik Paulsen,Robert Polet,Stephen Wolf,Nicholas Rolli
PYPL,John Donahoe,Daniel Schulman,John Rainey,Allison Johnson,Aaron Karczmer,Jonathan Auerbach,Mark Britto,A. Louise Pentland,David Moffett,Rodney Adkins,Wences Casares,Jonathan Christodoro,David Dorman,Belinda Johnson,Gail McGovern,Deborah Messemer,Ann Sarnoff,Frank Yeary,,,,,,,,,,,,,,,,,
UNP,Lance Fritz,Robert Knight,V. James Vena,Rhonda Ferguson,Scott Moore,Todd Rynaski,Thomas Lischer,Kenyatta Rocker,Michael McCarthy,Andrew Card,Erroll Davis,William DeLaney,David Dillon,Deborah Hopkins,Jane Lute,Thomas Mclarty,Bhavesh Patel,Jose Villarreal,Mike Miller,,,,,,,,,,,,,,,,
HON,Darius Adamczyk,Gregory Lewis,Que Thanh Dallara,Rajeev Gautam,Vikram Kapur,Timothy Mahoney,Michael Nefkens,John Waldron,Anne Madden,Mark James,Torsten Pilz,Jaime Chico Pardo,Duncan Angove,William Ayer,Kevin Burke,D. Scott Davis,Linnet Deily,Judd Gregg,Clive Hollick,Grace Lieblein,George Paz,Robin Washington,Mark Macaluso,,,,,,,,,,,,
ACN,David Rowland,Omar Abbosh,Gianfranco Casati,Daniel London,Richard Lumb,Jean-Marc Ollagnier,Julie Sweet,Alexander van't Noordende,Johan Deblaere,Ellyn Shook,Richard Clark,Chad Jerdee,Athina Kanioura,Gene Reznik,Marjorie Magner,Jaime Ardila,Charles Giancarlo,Herbert Hainer,Nancy McKinstry,Gilles Pelisson,Paula Price,Venkata Renduchintala,Arun Sarin,Frank Tang,Tracey Travis,Mark Broek,,,,,,,,,
COST,Hamilton James,W. Craig Jelinek,Richard Galanti,Paul Moulton,James Klauer,Franz Lazarus,Russ Miller,James Murphy,Joseph Portera,Timothy Rose,Ron Vachris,Susan Decker,Kenneth Denman,John Meisenbach,Charles Munger,Jeffrey Raikes,John Stanton,Mary Wilderotter,,,,,,,,,,,,,,,,,
CRM,Keith Block,Mark Hawkins,Alexandre Dayon,Cynthia Robbins,Bret Taylor,Marc Benioff,Parker Harris,Maria Martinez,Joseph Allanson,Amy Weaver,Sanford Robertson,Craig Conway,Alan Hassenfeld,Neelie Kroes,Colin Powell,John Roos,Bernard Tyson,Robin Washington,Maynard Webb,Susan Wojcicki,John Cummings,,,,,,,,,,,,,,
TXN,Richard Templeton,Rafael Lizardi,Ahmad S. Bahai,Ellen Barker,Cynthia Trochu,Niels Anderskouv,R. Gregory Delagi,Kyle Flessner,Haviv Ilan,Hagop Kozanian,Julie Van Haren,Darla Whitaker,Bing Xie,Mark Blinn,Todd Bluedorn,Janet Clark,Carrie Cox,Martin Craighead,Jean Hobby,Ronald Kirk,Pamela Patsley,Robert Sanchez,Dave Pahl,,,,,,,,,,,,
AVGO,Henry Samueli,Hock Tan,Thomas Krause,Bryan Ingram,Charlie Kawwas,Kirsten Spears,Mark Brazeal,Eddy Hartenstein,Diane Bryant,Gayla Delly,Check Kian Low,Peter Marks,Justine Page,Harry You,,,,,,,,,,,,,,,,,,,,,
SBUX,Myron Ullman,Kevin Johnson,Mellody Hobson,Patrick Grismer,John Culver,Rosalind Brewer,Rachel Gonzalez,Lucy Helm,Jill Walker,Mary Dillon,Jorgen Knudstorp,Satya Nadella,Joshua Ramo,Clara Shih,Javier Teruel,,,,,,,,,,,,,,,,,,,,
AMGN,Robert Bradway,David Meline,Murdo Gordon,David Reese,Esteban Santos,Cynthia Patton,Jonathan Graham,Lori Johnston,David Piacquad,Robert Eckert,Wanda Austin,Brian Druker,Gregory Garland,Fred Hassan,Rebecca Henderson,Charles Holley,Tyler Jacks,Ellen Kullman,Ronald Sugar,Robert Williams,,,,,,,,,,,,,,,
TMO,Jim Manzi,Marc Casper,Stephen Williamson,Mark Stevenson,Michael Boxer,Patrick Durbin,Gregory Herrema,Michel Lagarde,Peter Hornstra,Nelson Chai,C. Martin Harris,Tyler Jacks,Judy Lewent,Thomas Lynch,James Mullen,Lars Sorensen,Scott Sperling,Elaine Ullian,Dion Weisler,Kenneth Apicerno,,,,,,,,,,,,,,,
UTX,Gregory Hayes,Akhil Johri,David Gitlin,Robert Leduc,Judith Marks,Robert McDonough,Robert Ortberg,Elizabeth Amato,Charles Gill,Michael Dumais,Paul Eremenko,Robert Bailey,David Whitehouse,Ellen Kullman,Lloyd Austin,Diane Bryant,John Faraci,Jean-Pierre Garnier,Christopher Kearney,Marshall Larsen,Harold McGraw,Margaret O'Sullivan,Denise Ramos,Fredric Reynolds,Brian Rogers,,,,,,,,,,
