,Date,In reality,Link,PolitiFact source,Score,Source,Statement
437,"on Thursday, May 18th, 2017",Not the same,/punditfact/statements/2017/may/18/rush-limbaugh/rush-limbaugh-says-donald-trump-barack-obama-also-/,— PunditFact,Mostly False,Rush Limbaugh,"""What Trump is alleged to have done is actually no different than what Barack Obama did in April last year when he made it known that he didn’t want Hillary prosecuted."""
438,"on Thursday, May 18th, 2017",Fake details built into a real story,/punditfact/statements/2017/may/18/tdalliancecom/obama-statue-replacing-jefferson-davis-new-orleans/,— PunditFact,Pants on Fire!,TDAlliance.com,"""Jefferson Davis statue to be replaced with Obama likeness."""
439,"on Wednesday, May 17th, 2017",Border region heavily patrolled,/punditfact/statements/2017/may/17/jorge-ramos/jorge-ramos-border-communities-some-safest-country/,— PunditFact,Mostly True,Jorge Ramos,"""Some of the safest communities in the United States are along the border."""
440,"on Wednesday, May 17th, 2017",Joke story's origins aren't too funny,/punditfact/statements/2017/may/17/blog-posting/fake-story-about-trump-voters-being-russian-agents/,— PunditFact,Pants on Fire!,Bloggers,"""FBI uncovers evidence that 62 million Trump voters are all Russian agents!"""
441,"on Wednesday, May 17th, 2017","Obama wasn't arrested for drugs, okay?",/punditfact/statements/2017/may/17/blog-posting/conspiracy-theorists-concoct-fake-report-obama-arr/,— PunditFact,Pants on Fire!,Bloggers,"""Barack Obama arrested in a Japanese drug bust."""
442,"on Monday, May 15th, 2017",Playing the blame game with Busta Troll,/punditfact/statements/2017/may/15/blog-posting/liberal-troll-behind-tucker-carlson-death-hoax-spr/,— PunditFact,Pants on Fire!,Bloggers,"""Fox star Tucker Carlson in critical condition (then died) after head on collision driving home."""
443,"on Friday, May 12th, 2017",No safe port in a fake news storm,/punditfact/statements/2017/may/12/blog-posting/fake-news-clinton-foundation-has-no-ships-didnt-sm/,— PunditFact,Pants on Fire!,Bloggers,"""Clinton Foundation cargo ship raided at Port of Baltimore"" caught smuggling 460 undocumented immigrants."
444,"on Tuesday, May 9th, 2017",A mash-up of conspiracy theories and malarkey,/punditfact/statements/2017/may/09/blog-posting/chelsea-clinton-charged-fraud-clinton-foundation-s/,— PunditFact,Pants on Fire!,Bloggers,"""Clinton Foundation ordered to cease operations – Chelsea (Clinton) charged with fraud!"""
445,"on Monday, May 8th, 2017",Eldest first daughter targeted once again,/punditfact/statements/2017/may/08/blog-posting/time-fake-news-says-malia-obama-arrested-drugs-dog/,— PunditFact,Pants on Fire!,Bloggers,"""Malia Obama arrested with a gang of thugs in Chicago."""
446,"on Friday, May 5th, 2017",More fake attacks reported by troll site,/punditfact/statements/2017/may/05/blog-posting/fake-news-says-bill-oreilly-beaten-unconscious-lib/,— PunditFact,Pants on Fire!,Bloggers,"""Bill O’Reilly in critical condition after being attacked by ‘tolerant’ liberals."""
447,"on Friday, May 5th, 2017","Amazingly, no proof cops smoke weed to test it",/punditfact/statements/2017/may/05/alex-jones/police-smoke-marijuana-yearly-test-potency-alex-jo/,— PunditFact,False,Alex Jones,Says police officers smoke marijuana once a year as part of their jobs.
448,"on Wednesday, May 3rd, 2017","On the big picture, he's right",/punditfact/statements/2017/may/03/jimmy-kimmel/jimmy-kimmel-largely-right-about-cuts-additions-ni/,— PunditFact,Mostly True,Jimmy Kimmel,"""President Trump last month proposed a $6 billion cut in funding to the National Institutes of Health. And thank God our congressmen made a deal last night to not go along with that. They actually increased funding by $2 billion."""
449,"on Tuesday, May 2nd, 2017",A made-up headline on an out-of-context story,/punditfact/statements/2017/may/02/blog-posting/persistent-post-incorrectly-says-gops-graham-becom/,— PunditFact,False,Bloggers,"""Lindsey Graham threatens to convert to Democrat if Republicans don’t Dump Trump."""
450,"on Tuesday, May 2nd, 2017",She acknowledged she was wrong,/punditfact/statements/2017/may/02/margaret-hoover/cnns-margaret-hoover-corrects-claim-kimmel-surgery/,— PunditFact,False,Margaret Hoover,"Regarding the surgery that saved Jimmy Kimmel's son, ""Medicaid has stopped providing this kind of service."""
451,"on Monday, May 1st, 2017",An evolving ruse started by one site,/punditfact/statements/2017/may/01/blog-posting/reports-about-ted-nugent-dying-or-not-hunting-trip/,— PunditFact,Pants on Fire!,Bloggers,"""Ted Nugent killed in hunting accident."""
452,"on Monday, May 1st, 2017",A widespread near-death hoax,/punditfact/statements/2017/may/01/blog-posting/reports-sarah-palin-coma-after-hit-and-run-acciden/,— PunditFact,Pants on Fire!,Bloggers,"""Sarah Palin in a coma after hit and run."""
453,"on Friday, April 28th, 2017",'Voodoo magic',/punditfact/statements/2017/apr/28/rana-foroohar/trumps-tax-plan-prompts-question-can-tax-cuts-real/,— PunditFact,True,Rana Foroohar,"""There's no real evidence in the last 20 years that"" growth from tax cuts has made up lost revenue."
454,"on Friday, April 28th, 2017",No record of Trump saying these things,/punditfact/statements/2017/apr/28/blog-posting/reports-trump-offered-asylum-russian-jehovahs-witn/,— PunditFact,Pants on Fire!,Bloggers,"""Trump warns Russia over Jehovah’s Witnesses ban and urges members to seek asylum in the U.S."""
455,"on Thursday, April 27th, 2017",They're gonna tell a lie and hurt you,/punditfact/statements/2017/apr/28/blog-posting/fake-news-story-about-trump-banning-facebook-execu/,— PunditFact,Pants on Fire!,Bloggers,"""Donald Trump to issue an executive order to ban Facebook across U.S."""
456,"on Wednesday, April 26th, 2017",Aggregators again re-use a parody post,/punditfact/statements/2017/apr/26/blog-posting/trump-wants-send-native-americans-india-fake-news-/,— PunditFact,Pants on Fire!,Bloggers,"""Trump wants to deport American Indians to India."""
457,"on Tuesday, April 25th, 2017",An unattributed post stolen from a known fake news site,/punditfact/statements/2017/apr/26/democraticmomscom/fake-news-story-claims-eric-trump-said-donald-trum/,— PunditFact,Pants on Fire!,DemocraticMoms.com,"Says Eric Trump said, ""My father’s tax return is irrelevant because we’re going to cancel taxes for WEALTHY people anyway."""
458,"on Friday, April 21st, 2017",Another fake story building off a real discussion,/punditfact/statements/2017/apr/21/blog-posting/fake-story-says-fox-news-host-sandra-smith-doubted/,— PunditFact,Pants on Fire!,Bloggers,"""Fox News Sandra Smith: ‘Everybody could see from the United Airlines passenger’s behavior that he was not a genuine American.’ """
459,"on Friday, April 21st, 2017",An old prank makes a comeback,/punditfact/statements/2017/apr/21/realnewsrightnowcom/internet-story-claiming-trump-wants-renew-military/,— PunditFact,Pants on Fire!,RealNewsRightNow.com,"""Trump on revamping the military: We’re bringing back the draft."""
460,"on Thursday, April 20th, 2017",Pats staff wasn't in this year's photo,/punditfact/statements/2017/apr/20/new-york-times/new-york-times-tweet-fumbles-comparisons-patriots-/,— PunditFact,Mostly False,New York Times,Images show the turnout for President Donald Trump's 2017 ceremony with the New England Patriots was smaller than the team’s turnout with President Barack Obama in 2015.
461,"on Wednesday, April 19th, 2017","Not in trouble, not at Harvard",/punditfact/statements/2017/apr/19/blog-posting/fake-story-wrong-about-malia-obama-being-expelled-/,— PunditFact,Pants on Fire!,Bloggers,"""Malia Obama expelled from Harvard."""
462,"on Tuesday, April 18th, 2017",A fabricated dig at the beleaguered airline,/punditfact/statements/2017/apr/18/now8newscom/fake-news-story-says-united-flight-attendant-slapp/,— PunditFact,Pants on Fire!,Now8News.com,"""United Airlines flight attendant slaps crying baby during flight."""
463,"on Tuesday, April 18th, 2017",This didn't happen in Tampa. Or Boston. Or Calgary.,/punditfact/statements/2017/apr/18/blog-posting/tale-intoxicated-diver-losing-his-testicles-explos/,— PunditFact,Pants on Fire!,Bloggers,"""Tampa man loses testicles after trying to 'fill scuba tank with weed smoke.'"""
