,Date,In reality,Link,PolitiFact source,Score,Source,Statement
635,"on Monday, September 14th, 2015",Judges and clerks have different jobs,/punditfact/statements/2015/sep/14/viral-image/conservative-facebook-post-faults-lesbian-texas-ju/,— PunditFact,False,Viral image,Says the case of a Texas judge who refused to perform heterosexual weddings exposes a double standard in the case against Kentucky clerk Kim Davis.
636,"on Friday, September 11th, 2015",Not her main job,/punditfact/statements/2015/sep/11/juan-williams/williams-clinton-was-decider-classified-info-state/,— PunditFact,Half-True,Juan Williams,"When it comes to classified information at the State Department, Hillary Clinton’s ""the decider."""
637,"on Thursday, September 10th, 2015","No hard polling data for ""every state""",/punditfact/statements/2015/sep/10/matthew-dowd/dowd-historic-polling-pattern-points-trump/,— PunditFact,Half-True,Matthew Dowd,"""Any Republican that has led for two months and led every state has won the GOP nomination."""
638,"on Tuesday, September 8th, 2015",Not well grounded in data,/punditfact/statements/2015/sep/08/jorge-ramos/ramos-40-undocumented-immigrants-come-air/,— PunditFact,Half-True,Jorge Ramos,"""Almost 40 percent of all (undocumented) immigrants come by plane and they overstay their visas."""
639,"on Thursday, September 3rd, 2015","First, 'Kenyan' is not a language",/punditfact/statements/2015/sep/03/viral-image/no-denali-not-kenyan-word-black-power/,— PunditFact,Pants on Fire!,Viral image,""" 'Denali' is the Kenyan word for 'black power.' """
640,"on Thursday, September 3rd, 2015",The treaty does nothing of the sort,/punditfact/statements/2015/sep/03/dick-cheney/cheney-slips-key-nuclear-treaty/,— PunditFact,False,Dick Cheney,"Under the Nuclear Nonproliferation Treaty ""enrichment has been limited to basically the weapons states."""
641,"on Thursday, September 3rd, 2015",His family fled to another part of the Roman Empire,/punditfact/statements/2015/sep/03/ryan-eller/jesus-was-undocumented-immigrant-ordained-minister/,— PunditFact,False,Ryan Eller,"""Jesus was an undocumented immigrant."""
642,"on Wednesday, September 2nd, 2015",Clinton's support last described as 'unenthusiastic',/punditfact/statements/2015/sep/02/viral-image/where-do-hillary-clinton-and-bernie-sanders-stand-/,— PunditFact,Mostly True,Viral image,"Bernie Sanders opposes the death penalty, and Hillary Clinton supports it."
643,"on Wednesday, September 2nd, 2015",MIA: Hillary's enthusiasm for TPP,/punditfact/statements/2015/sep/02/viral-image/how-bernie-sanders-hillary-clinton-differ-trans-pa/,— PunditFact,Mostly True,Viral image,"Bernie Sanders opposes the Trans-Pacific Partnership, and Hillary Clinton supports it."
644,"on Tuesday, September 1st, 2015",Data show the opposite,/punditfact/statements/2015/sep/01/eric-bolling/fox-news-bolling-misstates-tie-between-gun-laws-an/,— PunditFact,False,Eric Bolling,"""In countries where there are higher, more strict gun laws, there is more gun violence."""
645,"on Friday, August 28th, 2015",Low and outside,/punditfact/statements/2015/aug/28/curt-schilling/schilling-throws-wild-pitch-nazi-stat/,— PunditFact,Mostly False,Curt Schilling,"""In 1940, only 7 percent of Germans were Nazis."""
646,"on Thursday, August 27th, 2015",Claim still holds up,/punditfact/statements/2015/aug/27/nicholas-kristof/more-americans-killed-guns-1968-all-wars-says-colu/,— PunditFact,True,Nicholas Kristof,"""More Americans have died from guns in the United States since 1968 than on battlefields of all the wars in American history."""
647,"on Thursday, August 27th, 2015",Budget snapshots miss a lot of the picture,/punditfact/statements/2015/aug/27/occupy-democrats/liberal-group-blames-bush-raising-deficits-credits/,— PunditFact,Half-True,Occupy Democrats,"Says ""Bush Jr. handed Obama a $1.4 trillion deficit"" and Obama ""reduced Bush Jr.’s deficit to just $492 billion."""
648,"on Tuesday, August 25th, 2015",Dates show Jindal didn't matter,/punditfact/statements/2015/aug/25/occupy-democrats/liberal-group-tags-jindal-anchor-baby/,— PunditFact,Pants on Fire!,Occupy Democrats,"Says Bobby Jindal’s parents ""used his birthright citizenship to become Americans, making him an anchor baby."""
649,"on Tuesday, August 25th, 2015","Crime bill gets some, not all, blame",/punditfact/statements/2015/aug/25/julius-jones/black-lives-matter-activist-says-clintons-passed-p/,— PunditFact,Half-True,Julius Jones,"""The policy mistakes that ... the Clintons made got us, in large degree, to the situation that we are in today with mass incarceration."""
650,"on Sunday, August 23rd, 2015",An 'anomaly' among economic peers,/punditfact/statements/2015/aug/23/se-cupp/se-cupp-only-about-30-other-countries-offer-birthr/,— PunditFact,True,S.E. Cupp,"""There are actually only 30 countries that practice birthright citizenship."""
651,"on Thursday, August 20th, 2015","It's satire, people",/punditfact/statements/2015/aug/20/facebook-posts/no-michele-bachmann-did-not-say-there-are-no-illeg/,— PunditFact,Pants on Fire!,Facebook posts,"Says Michele Bachmann said, ""The Chinese built a Great Wall 5,000 years ago. You don't see any illegal Mexicans in China."""
652,"on Thursday, August 20th, 2015","Numbers right, but comparison imperfect",/punditfact/statements/2015/aug/20/matt-wuerker/has-us-really-spent-more-afghanistan-post-wwii-eur/,— PunditFact,Mostly True,Matt Wuerker,"""The U.S. has now spent more on reconstructing Afghanistan than was spent on the Marshall Plan and the reconstruction of Europe."""
653,"on Tuesday, August 18th, 2015",Examples are scant,/punditfact/statements/2015/aug/18/howard-dean/howard-dean-tremendous-number-public-officials-hav/,— PunditFact,Mostly False,Howard Dean,"""There’s a tremendous other number of public officials who have done the same thing"" as Hillary Clinton with a private email server."
654,"on Monday, August 17th, 2015",The man he cites says he got it wrong,/punditfact/statements/2015/aug/17/tom-tancredo/tancredo-muffs-illegal-immigrant-murder-stats/,— PunditFact,False,Tom Tancredo,"Between 2008 and 2014, ""criminal aliens accounted for 38 percent of all murder convictions in the five states of California, Texas, Arizona, Florida and New York."""
655,"on Wednesday, August 12th, 2015",Takin' it back to the USSR,/punditfact/statements/2015/aug/12/george-will/george-will-reminds-readers-about-bernie-sanders-u/,— PunditFact,Mostly True,George Will,"Says Bernie Sanders chose ""to spend his honeymoon in the Soviet Union in 1988."""
656,"on Tuesday, August 11th, 2015",Emails had few details,/punditfact/statements/2015/aug/11/andrew-napolitano/did-hillary-clinton-emails-reveal-location-ambassa/,— PunditFact,Half-True,Andrew Napolitano,"Emails released to the public show Hillary Clinton discussed ""the location of Ambassador Stevens, who of course was murdered, in Libya."""
657,"on Monday, August 10th, 2015",Not universal practices,/punditfact/statements/2015/aug/10/rafael-cruz/rafael-cruz-father-ted-cruz-says-everybody-prayed-/,— PunditFact,Mostly False,Rafael Cruz,"""Prior to 1962, everybody prayed before school started,"" and ""the Bible was the principal textbook in all schools."""
658,"on Sunday, August 9th, 2015",GOP won women by 1 percentage point in '88,/punditfact/statements/2015/aug/09/heather-mcghee/republican-presidential-nominee-hasnt-won-over-wom/,— PunditFact,True,Heather McGhee,"""The Republican presidential nominee hasn’t won women since 1988."""
659,"on Thursday, August 6th, 2015",Not a significant rewrite,/punditfact/statements/2015/aug/06/rachel-maddow/rachel-maddow-says-fox-changed-poll-eligibility-cr/,— PunditFact,Half-True,Rachel Maddow,"""Fox changed around their poll eligibility criteria on the day they announced who is in and out of their debate."""
660,"on Tuesday, August 4th, 2015",The Navy denies it in full,/punditfact/statements/2015/aug/04/allen-west/navy-officer-who-shot-chattanooga-shooter-facing-c/,— PunditFact,False,Allen West,"The Navy ""is bringing charges against"" a Navy officer who shot at the Chattanooga shooter ""for illegally discharging a firearm on federal property."""
661,"on Tuesday, August 4th, 2015",Selective reading of 'services',/punditfact/statements/2015/aug/04/sandra-smith/fox-business-reporter-95-planned-parenthoods-pregn/,— PunditFact,False,Sandra Smith,"""Almost 95 percent of all (Planned Parenthood) pregnancy services were abortions."""
662,"on Monday, August 3rd, 2015",Counting lions an inexact science,/punditfact/statements/2015/aug/03/jack-hanna/jack-hanna-talks-cecil-week-claims-africas-lion-po/,— PunditFact,Mostly True,Jack Hanna,"""In 1947, when I was born, there were about 450,000 lions. In the mid-70s, when my kids were born, there were about 100,000. Today, there are less than 30,000."""
663,"on Thursday, July 30th, 2015",Actions louder than words,/punditfact/statements/2015/jul/30/bill-oreilly/bill-oreilly-tells-huckabee-russia-china-said-clea/,— PunditFact,Mostly True,Bill O'Reilly,"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal."""
664,"on Thursday, July 30th, 2015","Literally, no",/punditfact/statements/2015/jul/30/harry-houck/former-nypd-detective-sandra-blands-traffic-stop-l/,— PunditFact,False,Harry Houck,"""The law says ... when a police officer stops you, do whatever he says and then deal with it later."""
665,"on Wednesday, July 29th, 2015",Huevos rancheros for thought,/punditfact/statements/2015/jul/29/jose-diaz-balart/majority-hispanic-population-us-born-says-jose-dia/,— PunditFact,True,Jose Diaz-Balart,"""The majority of the Hispanic population and the growth (of the population) is U.S.-born."""
666,"on Tuesday, July 28th, 2015",Meme has outrageous grip on facts,/punditfact/statements/2015/jul/28/occupy-democrats/house-republicans-attacked-passing-bill-makes-it-l/,— PunditFact,False,Occupy Democrats,"""House Republicans just passed a bill that makes it legal for single mothers to be fired by their employers."""
667,"on Tuesday, July 28th, 2015",The effort was state-sanctioned,/punditfact/statements/2015/jul/28/numbers-usa/did-more-half-all-california-drivers-licenses-go-u/,— PunditFact,Mostly True,NumbersUSA,"""More than half of all drivers' licenses issued in California this year have gone to illegal aliens."""
668,"on Monday, July 27th, 2015",Hard to regulate across state lines,/punditfact/statements/2015/jul/27/john-oliver/john-oliver-hits-regulatory-gap-food-last-week-ton/,— PunditFact,True,John Oliver,"""With the exception of baby formula, the federal government does not require any food to carry an expiration date, and state laws vary widely."""
669,"on Monday, July 27th, 2015",Ghost soldiers,/punditfact/statements/2015/jul/27/chuck-baldwin/no-300000-slave-owners-did-not-fight-union-side-ci/,— PunditFact,Pants on Fire!,Chuck Baldwin,"When President Abraham Lincoln signed his Emancipation Proclamation, ""there were over 300,000 slaveholders who were fighting in the Union army."""
670,"on Friday, July 24th, 2015",That was then. This is now.,/punditfact/statements/2015/jul/24/erick-erickson/conservative-columnist-trump-once-backed-single-pa/,— PunditFact,True,Erick Erickson,"Says Donald Trump ""has supported a Canadian-style universal health care system."""
671,"on Thursday, July 23rd, 2015","He's right in spirit, not in details",/punditfact/statements/2015/jul/23/jon-stewart/fact-checking-jon-stewarts-last-daily-show-intervi/,— PunditFact,Half-True,Jon Stewart,"The United States is ""fighting with Iraqis to defeat ISIS along with Iran. But in Yemen we're fighting Iran with Iraqis and Saudis."""
672,"on Wednesday, July 22nd, 2015","Frankly, it was a joke.",/punditfact/statements/2015/jul/22/rush-limbaugh/rush-limbaugh-al-franken-said-almost-exactly-what-/,— PunditFact,Half-True,Rush Limbaugh,"""Al Franken said almost exactly what Trump said"" about John McCain’s military record."
673,"on Tuesday, July 21st, 2015",Earth's demotion not guaranteed,/punditfact/statements/2015/jul/21/other-space/plutos-advocates-say-even-earth-would-not-count-pl/,— PunditFact,Half-True,Other Space,"""By declaring that Pluto was no longer a planet, the (International Astronomical Union) put into place a planetary definition that would have even declassified Earth as a planet if it existed as far from the sun as Pluto does."""
674,"on Tuesday, July 21st, 2015",This has been debunked,/punditfact/statements/2015/jul/21/pamela-geller/pam-geller-spreads-false-claim-about-isis-linked-t/,— PunditFact,False,Pamela Geller,"""ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m."" in Chattanooga, Tenn."
675,"on Friday, July 17th, 2015",Confuses GDP with tax revenues,/punditfact/statements/2015/jul/17/ron-dermer/israeli-ambassador-uses-odd-logic-relate-irans-fro/,— PunditFact,Mostly False,Ron Dermer,"""In a few months, this deal would give Iran $150 billion"" for its $300 billion to $400 billion economy, which is ""like $8 trillion flowing into the United States treasury."""
676,"on Friday, July 17th, 2015",Obama talks about it but hasn't scaled back THAT much,/punditfact/statements/2015/jul/17/dick-cheney/cheney-obama-wants-get-rid-all-nuclear-weapons-has/,— PunditFact,Mostly False,Dick Cheney,"""Obama keeps talking about getting rid of all nuclear weapons. He’s already significantly reduced our capabilities there."""
677,"on Thursday, July 16th, 2015",Many releases ordered by the courts,/punditfact/statements/2015/jul/16/hans-von-spakovsky/heritage-analyst-obama-administration-released-134/,— PunditFact,Half-True,Hans von Spakovsky,"""134,000 (criminal) aliens have been released by the (Obama) administration in just the past two years."""
678,"on Wednesday, July 15th, 2015",Facts don't appear on Trump's side,/punditfact/statements/2015/jul/15/rachel-maddow/rachel-maddow-says-donald-trump-exaggerated-his-cr/,— PunditFact,True,Rachel Maddow,"Despite what Donald Trump claims, ""there weren’t 15,000 people who turned out in Phoenix"" to see Trump speak."
679,"on Tuesday, July 14th, 2015",Cuts ≠ Disbanding the reserve,/punditfact/statements/2015/jul/14/joe-theismann/former-nfl-qb-joe-theismann-we-dont-have-reserve/,— PunditFact,False,Joe Theismann,"""We don’t have a (military) reserve force if something happens."""
680,"on Tuesday, July 14th, 2015",Not the data we found,/punditfact/statements/2015/jul/14/jan-brewer/former-arizona-gov-jan-brewer-only-1-4-people-tryi/,— PunditFact,Mostly False,Jan Brewer,"""We know from ... the federal data, that they only stop or apprehend one out of four illegal people crossing our border."""
681,"on Sunday, July 12th, 2015",All we have is a three-month window,/punditfact/statements/2015/jul/12/brianna-keilar/when-did-hillary-clinton-delete-her-work-emails/,— PunditFact,Mostly True,Brianna Keilar,"Says Hillary Clinton's ""campaign hasn't been clear about when she wiped her server of her work emails."""
682,"on Friday, July 10th, 2015",Many are in for sneaking over the border,/punditfact/statements/2015/jul/10/larry-oconnor/conservative-host-noncitizens-are-25-federal-inmat/,— PunditFact,Mostly True,Larry O'Connor,"""25 percent of federal inmates are noncitizens."""
683,"on Thursday, July 9th, 2015","Money, like Trump, has been shifting to the right",/punditfact/statements/2015/jul/09/ben-ferguson/donald-trumps-campaign-contributions-democrats-and/,— PunditFact,Mostly False,Ben Ferguson,"Says Donald Trump has ""given more money to Democratic candidates than Republican candidates."""
684,"on Thursday, July 9th, 2015",Talk about a false flag,/punditfact/statements/2015/jul/09/blog-posting/its-hoax-jay-z-and-beyonce-arent-trying-buy-rights/,— PunditFact,Pants on Fire!,Bloggers,"""Jay-Z and Beyonce Attempt to Buy Rights to Confederate Flag to Prevent Further Use."""
685,"on Wednesday, July 8th, 2015","The numbers, like elections in Florida, are close",/punditfact/statements/2015/jul/08/chuck-todd/florida-no-party-voters-are-growing-question-why/,— PunditFact,Mostly True,Chuck Todd,"In Florida, ""the number of voters who now register as ‘other’ has grown by a million in the last 10 years. Compare that with the Democrats, who only grew by 300,000 and the Republicans who grew by just 200,000."""
686,"on Wednesday, July 8th, 2015",Fingerprint matching continues,/punditfact/statements/2015/jul/08/harris-faulkner/fox-news-host-obama-ended-program-tracking-undocum/,— PunditFact,Half-True,Harris Faulkner,"""President Obama in November of last year wiped away (a program) that allows for shared fingerprinting for those who are behind bars so you know who is here legally and illegally."""
687,"on Tuesday, July 7th, 2015",Someone was blinded by her psychedelic pants,/punditfact/statements/2015/jul/07/dinesh-dsouza/hillary-clinton-confederate-battle-flag-nope-old-i/,— PunditFact,Pants on Fire!,Dinesh D'Souza,A photograph of 21-year-old Hillary Clinton featured a Confederate battle flag in the background.
688,"on Monday, July 6th, 2015","Tourists like both places, too",/punditfact/statements/2015/jul/06/paul-krugman/yep-greece-and-miami-metro-have-about-same-gdp/,— PunditFact,True,Paul Krugman,"""Greece is not a big economy. It's about the size of metropolitan Miami."""
689,"on Thursday, July 2nd, 2015",Not stump speech material,/punditfact/statements/2015/jul/02/donna-brazile/dem-pundit-brazile-says-nj-credit-rating-fell-reco/,— PunditFact,Mostly True,Donna Brazile,"""Chris Christie has led New Jersey to a record-breaking 9 credit downgrades."""
690,"on Wednesday, July 1st, 2015",An exaggeration as big as Texas,/punditfact/statements/2015/jul/01/gavin-mcinnes/no-undocumented-immigrants-are-not-tied-50-texas-m/,— PunditFact,False,Gavin McInnes,"""50 percent of murders in Texas have been linked to illegal aliens."""
691,"on Tuesday, June 30th, 2015",The games are back,/punditfact/statements/2015/jun/30/newt-gingrich/gingrich-amazon-removed-educational-board-games-ab/,— PunditFact,Half-True,Newt Gingrich,"Says Amazon has removed ""an educational game about Gettysburg."""
692,"on Tuesday, June 30th, 2015",Hinges on definition of developed,/punditfact/statements/2015/jun/30/john-lott/gun-advocate-refutes-obamas-statement-cites-murder/,— PunditFact,Half-True,John Lott,"""The United States doesn’t have the highest murder rate among developed countries. You look at Russia, you look at Brazil, those are countries that have 3 to 5 times higher murder rates than what we have here in the United States."""
693,"on Monday, June 29th, 2015","Negative opinions are widespread, but not a majority view",/punditfact/statements/2015/jun/29/juan-williams/juan-williams-whites-think-blacks-are-less-intelli/,— PunditFact,Half-True,Juan Williams,"Polls indicate that ""white people think that black people are less intelligent. They think they’re less trustworthy, less patriotic."""
694,"on Thursday, June 25th, 2015","McInnes said to look it up, so we did",/punditfact/statements/2015/jun/25/gavin-mcinnes/tweet-civil-war-was-about-secession-not-slavery/,— PunditFact,Pants on Fire!,Gavin McInnes,"""The Civil War wasn't about slavery."""
695,"on Thursday, June 25th, 2015","That's a stretch, based on the numbers",/punditfact/statements/2015/jun/25/stanley-mcchrystal/stanley-mcchrystal-isis-reaches-100-million-people/,— PunditFact,Half-True,Stanley McChrystal,"ISIS reaches ""about 100 million people a day"" through social media."
696,"on Wednesday, June 24th, 2015","Born in Bamberg, S.C.",/punditfact/statements/2015/jun/24/ann-coulter/ann-coulters-pants-fire-claim-sc-gov-nikki-haley-i/,— PunditFact,Pants on Fire!,Ann Coulter,"Says South Carolina Gov. Nikki Haley ""is an immigrant."""
697,"on Tuesday, June 23rd, 2015","'At age 34, one out of four women are virgins in Japan'",/punditfact/statements/2015/jun/23/aziz-ansari/startling-stat-checks-out-46-percent-young-women-j/,— PunditFact,True,Aziz Ansari,"""46 percent of women between the age of 16 to 24 despise sexual contact"" in Japan."
698,"on Monday, June 22nd, 2015",The reason -- like the flag itself -- is up for some debate,/punditfact/statements/2015/jun/22/eugene-robinson/confederate-flag-wasnt-flown-south-carolina-state-/,— PunditFact,Mostly True,Eugene Robinson,"The Confederate battle flag in South Carolina was first flown at the statehouse in 1961. ""It was flown as a symbol of massive resistance to racial desegregation."""
699,"on Monday, June 22nd, 2015","Trend is there, but no firm 2014 numbers",/punditfact/statements/2015/jun/22/bill-clinton/bill-clinton-zero-net-migration-mexico-2010/,— PunditFact,Mostly True,Bill Clinton,"""Between 2010 and 2014, there was no net in-migration from Mexico."""
700,"on Sunday, June 21st, 2015",No one can remember it be lowered,/punditfact/statements/2015/jun/21/jean-casarez/flying-confederate-battle-flag-south-carolina-half/,— PunditFact,True,Jean Casarez,"The Confederate battle flag at the South Carolina statehouse ""must fly at a height of 30 feet. Any changes -- taken down, or even at half-staff, if that can be done -- must be passed by a supermajority of the General Assembly."""
701,"on Thursday, June 18th, 2015",Not a crime by itself,/punditfact/statements/2015/jun/18/michael-skolnik/amid-rachel-dolezal-controvery-pundit-claims-black/,— PunditFact,Half-True,Michael Skolnik,"""For most black people in the history of this country … it was illegal to pass as a white person. You were actually put in jail if you tried to pass."""
702,"on Thursday, June 18th, 2015",An obvious hoax,/punditfact/statements/2015/jun/18/breitbart/no-pear-was-not-original-symbol-california/,— PunditFact,Pants on Fire!,Breitbart,"Says the California flag was supposed to be a pear, not a bear."
703,"on Wednesday, June 17th, 2015",Cherry-picked data,/punditfact/statements/2015/jun/17/ron-christie/gop-strategist-christie-tax-revenues-rose-after-bu/,— PunditFact,Mostly False,Ron Christie,"""After the 2001 and 2003 Bush tax rate cuts ... there was more money coming into the treasury."""
704,"on Tuesday, June 16th, 2015",A misreading of Clinton's comments,/punditfact/statements/2015/jun/16/occupy-democrats/liberal-group-claims-all-hillary-clintons-speaking/,— PunditFact,False,Occupy Democrats,"Says Hillary Clinton ""has donated every cent she's ever earned from speaking fees to charity."""
705,"on Sunday, June 14th, 2015",Moderate views predominate,/punditfact/statements/2015/jun/14/george-will/jeb-bush-and-majority-republicans-actually-agree-i/,— PunditFact,Mostly True,George Will,"Says Jeb Bush ""happens to be where a majority"" of Republican voters are on giving legal status to illegal immigrants."
706,"on Friday, June 12th, 2015","Overstated, a bit",/punditfact/statements/2015/jun/12/john-oliver/john-oliver-hails-pretrial-services-florida-progre/,— PunditFact,Half-True,John Oliver,"Says ""Florida is a model"" for successful pretrial release programs."
707,"on Thursday, June 11th, 2015",Not the case for most Muslim countries,/punditfact/statements/2015/jun/11/pamela-geller/anti-muslim-activist-pam-geller-says/,— PunditFact,Half-True,Pamela Geller,"""In Muslim countries, under the Sharia, there is a death penalty for blaspheming Mohammad."""
708,"on Tuesday, June 9th, 2015",What's in YOUR wallet?,/punditfact/statements/2015/jun/09/hunter-schwarz/47-say-they-lack-ready-cash-pay-surprise-400-bill/,— PunditFact,True,Hunter Schwarz,"47 percent of Americans ""can’t pay for an unexpected $400 expense through savings or credit cards, without selling something or borrowing money."""
709,"on Friday, June 5th, 2015",A fair observation,/punditfact/statements/2015/jun/05/brian-stelter/brian-stelter-fox-barely-covered-dugger-scandal-un/,— PunditFact,True,Brian Stelter,"""Fox News barely covered (the Duggar family) scandal until Megyn Kelly was able to secure this interview."""
710,"on Thursday, June 4th, 2015",There was no runnerup,/punditfact/statements/2015/jun/04/facebook-posts/no-iraq-veteran-wasnt-runnerup-caitlyn-jenner-espn/,— PunditFact,Pants on Fire!,Facebook posts,"The runnerup to Caitlyn Jenner for ESPN’s Arthur Ashe Courage Award was ""Army veteran Noah Galloway, who lost an arm and leg to a roadside bomb in Iraq."""
711,"on Thursday, June 4th, 2015","""Most polls"" do not show what she says",/punditfact/statements/2015/jun/04/gretchen-carlson/gretchen-carlson-most-polls-show-world-has-lower-r/,— PunditFact,False,Gretchen Carlson,"""Most polls show foreign nations have lower regard for the U.S. now than they did before Obama’s time."""
712,"on Wednesday, June 3rd, 2015","A label yes, but no ""S""",/punditfact/statements/2015/jun/03/al-sharpton/sharpton-texas-lawmakers-want-insurance-cards-carr/,— PunditFact,Mostly False,Al Sharpton,"The Texas Senate ""approved a bill to put a special label on the insurance cards of anyone who bought a plan through Obamacare"" that includes the letter ""S"" for subsidy."
713,"on Tuesday, June 2nd, 2015",Making a mess of the immigration reality,/punditfact/statements/2015/jun/02/ann-coulter/no-us-has-not-taken-14-mexicos-population/,— PunditFact,Pants on Fire!,Ann Coulter,"""America has already taken in one-fourth of Mexico's entire population."""
714,"on Tuesday, June 2nd, 2015",Update: The Trews responds,/punditfact/statements/2015/jun/02/russell-brand/russell-brand-misinforms-fans-about-us-murder-rate/,— PunditFact,False,Russell Brand,"""The American murder rate is 50 times that of any other developed nation."""
715,"on Monday, June 1st, 2015",The lobbyists make bank,/punditfact/statements/2015/jun/01/george-will/george-will-we-spend-more-lobbying-campaigns/,— PunditFact,True,George Will,"""We spend more money on lobbying than we do on campaigns."""
716,"on Thursday, May 28th, 2015",Both are doing pretty well,/punditfact/statements/2015/may/28/glenn-beck/glenn-beck-says-hillary-clinton-makes-more-one-spe/,— PunditFact,Mostly False,Glenn Beck,"Says Hillary Clinton ""makes more per hour at a speaking gig than the average CEO does in a year."""
717,"on Wednesday, May 27th, 2015",A social-media meme that's actually True!,/punditfact/statements/2015/may/27/sarah-silverman/did-rand-paul-equate-right-health-care-slavery/,— PunditFact,True,Sarah Silverman,"Says Sen. Rand Paul, R-Ky., has stated that supporting the ""right to health care ... means you believe in slavery."""
718,"on Thursday, May 21st, 2015",The proof isn't solid,/punditfact/statements/2015/may/21/sean-hannity/sean-hannity-senator-hillary-clinton-paid-female-s/,— PunditFact,Mostly False,Sean Hannity,"As a senator, Hillary Clinton ""actually paid female staffers a lot less than men."""
719,"on Monday, May 18th, 2015",Congress mandated PTC a long time ago,/punditfact/statements/2015/may/18/megyn-kelly/did-money-have-nothing-do-amtrak-crash/,— PunditFact,Half-True,Megyn Kelly,"The lack of an automatic braking system that could have prevented the Philadelphia Amtrak crash ""wasn't driven by a lack of funding. It just takes a while. They (Congress) just passed it in the recent past."""
720,"on Monday, May 18th, 2015",Five-yard penalty,/punditfact/statements/2015/may/18/donald-trump/trump-tees-tom-bradys-suspension-says-players-murd/,— PunditFact,Half-True,Donald Trump,"""You can be an NFL player with murder charges and not be suspended."""
721,"on Sunday, May 17th, 2015",Gates point was that low rates don't mean an economic boom,/punditfact/statements/2015/may/17/bill-gates/bill-gates-high-taxes-and-high-growth-can-co-exist/,— PunditFact,Mostly True,Bill Gates,"The ""highest economic growth decade was the 1960s. Income tax rates were 90 percent."""
722,"on Wednesday, May 13th, 2015",The program's supplement advice is not backed up by science,/punditfact/statements/2015/may/13/ron-fournier/mike-huckabee-and-diabetes-cure-he-endorsed-no-hea/,— PunditFact,True,Ron Fournier,"Says Mike Huckabee appeared in diabetes infomercials to endorse ""cures and treatments that no health agency supports."""
723,"on Tuesday, May 12th, 2015",Wolf in 2008: 'The coup is here',/punditfact/statements/2015/may/12/rich-lowry/did-liberal-writer-warn-about-bush-fascist-takeove/,— PunditFact,True,Rich Lowry,"""During the Bush administration, you actually had a prominent liberal write a book about how Bush was preparing for a fascist takeover of this country."""
724,"on Monday, May 11th, 2015","Moms matter, but this stat is wrong",/punditfact/statements/2015/may/11/maria-shriver/maria-shriver-2-american-families-rely-mothers-inc/,— PunditFact,Mostly False,Maria Shriver,"""Two-thirds of American families rely on the mother's income to stay above the poverty level."""
725,"on Thursday, May 7th, 2015",Them's fightin' words,/punditfact/statements/2015/may/07/chris-cuomo/cnns-chris-cuomo-first-amendment-doesnt-cover-hate/,— PunditFact,False,Chris Cuomo,"""Hate speech is excluded from protection"" under the First Amendment."
726,"on Thursday, May 7th, 2015",Bubba must be listening,/punditfact/statements/2015/may/07/bill-clinton/bill-clinton-we-had-lowest-net-worth-any-president/,— PunditFact,True,Bill Clinton,"""When we moved into the White House, we had the lowest net worth of any family since Harry Truman."""
727,"on Wednesday, May 6th, 2015",She supported the deal all along,/punditfact/statements/2015/may/06/peter-schweizer/clinton-cash-author-hillary-changed-positions-indi/,— PunditFact,False,Peter Schweizer,"""Amendments (Hillary Clinton) supported and voted for in 2006, she no longer supported in 2008,"" showing she changed positions on an India nuclear deal."
728,"on Tuesday, May 5th, 2015",Accounting for only 100 school districts,/punditfact/statements/2015/may/05/chris-wallace/foxs-wallace-baltimore-ranks-third-school-spending/,— PunditFact,Half-True,Chris Wallace,"""Baltimore spends the third highest per capita on its public schools."""
729,"on Monday, May 4th, 2015",The clip isn't as damning as Scarborough suggests,/punditfact/statements/2015/may/04/joe-scarborough/scarborough-clinton-foundation-broke-its-own-rules/,— PunditFact,Mostly False,Joe Scarborough,"Says the Clintons ""burst through their own self-pronounced guidelines"" by accepting foreign donations. ""There is a clip of Bill Clinton saying we're not going to take foreign donations."""
730,"on Sunday, May 3rd, 2015",This claim is KO'd ,/punditfact/statements/2015/may/03/jim-lampley/truth-about-claim-mayweatherpacquiao-fight-outearn/,— PunditFact,Pants on Fire!,Jim Lampley,"The projected revenue from the Mayweather/Pacquiao fight is ""larger than the annual GDP of 29 different countries."""
731,"on Wednesday, April 29th, 2015",A fabrication,/punditfact/statements/2015/apr/29/nation-islam-research-group/nation-islam-group-says-israeli-security-trained-b/,— PunditFact,Pants on Fire!,Nation of Islam Research Group,"Says Baltimore police are ""trained by Mossad and Shin Bet."""
732,"on Wednesday, April 29th, 2015",A misreading of the numbers,/punditfact/statements/2015/apr/29/rush-limbaugh/rush-limbaugh-says-clinton-foundation-spends-just-/,— PunditFact,Mostly False,Rush Limbaugh,"""Eighty-five percent of every dollar donated to the Clinton Foundation ended up either with the Clintons or with their staff to pay for travel, salaries, and benefits. Fifteen cents of every dollar actually went to some charitable beneficiary."""
733,"on Tuesday, April 28th, 2015",No evidence of a pledge,/punditfact/statements/2015/apr/28/richard-clarke/did-obama-pledge-stop-using-signature-strikes/,— PunditFact,Mostly False,Richard Clarke,"Said President Barack Obama ""said he was going to stop (signature strikes)."""
